onset	text	duration
2.1	The	0.17999999999999972
2.28	email	0.3900000000000001
2.67	came	0.41999999999999993
3.12	late	0.23999999999999977
3.36	one	0.2400000000000002
3.6	afternoon	0.7200000000000002
4.56	as	0.15000000000000036
4.71	dr	0.41999999999999993
5.13	Carmen	0.3899999999999997
5.52	Reed	0.3000000000000007
5.82	was	0.20999999999999996
6.03	sitting	0.33000000000000007
6.36	in	0.17999999999999972
6.54	her	0.15000000000000036
6.69	office	0.47999999999999954
7.41	filling	0.35999999999999943
7.77	out	0.21000000000000085
7.98	medical	0.35999999999999943
8.34	charts	0.41999999999999993
8.79	for	0.1800000000000015
8.97	the	0.08999999999999986
9.06	patients	0.5700000000000003
9.66	she	0.2400000000000002
9.9	had	0.15000000000000036
10.05	seen	0.2699999999999996
10.32	that	0.2400000000000002
10.56	day	0.33000000000000007
11.76	It	0.17999999999999972
11.94	had	0.15000000000000036
12.09	been	0.17999999999999972
12.27	a	0.0600000000000005
12.33	long	0.3000000000000007
12.63	day	0.33000000000000007
12.99	at	0.15000000000000036
13.14	the	0.08999999999999986
13.23	busy	0.35999999999999943
13.59	clinic	0.35999999999999943
13.95	in	0.15000000000000036
14.1	Chicago	0.5700000000000003
14.67	where	0.17999999999999972
14.85	she	0.2400000000000002
15.09	worked	0.41999999999999993
15.93	and	0.240000000000002
16.17	Carmen	0.35999999999999943
16.53	was	0.14999999999999858
16.68	tired	0.4800000000000004
17.19	and	0.14999999999999858
17.34	ready	0.2699999999999996
17.61	to	0.120000000000001
17.73	go	0.21000000000000085
17.94	home	0.41999999999999815
19.83	But	0.21000000000000085
20.04	the	0.120000000000001
20.16	emails	0.4800000000000004
20.73	strange	0.5999999999999979
21.33	subject	0.5400000000000027
21.87	line	0.3299999999999983
22.23	caught	0.2699999999999996
22.5	her	0.14999999999999858
22.65	eye	0.33000000000000185
23.7	fellow	0.33000000000000185
24.03	doctor	0.509999999999998
24.6	I	0.14999999999999858
24.75	need	0.3000000000000007
25.05	your	0.23999999999999844
25.29	help	0.4200000000000017
26.34	It	0.17999999999999972
26.52	was	0.15000000000000213
26.67	sent	0.23999999999999844
26.91	by	0.14999999999999858
27.06	someone	0.39000000000000057
27.45	named	0.39000000000000057
27.87	dr	0.41999999999999815
28.29	John	0.35999999999999943
28.65	Torson	0.5700000000000003
29.91	intrigued	0.6600000000000001
30.66	Carmen	0.39000000000000057
31.05	began	0.35999999999999943
31.41	to	0.17999999999999972
31.59	read	0.35999999999999943
33.78	dr	0.35999999999999943
34.14	Torson	0.6300000000000026
34.83	said	0.30000000000000426
35.13	he	0.0899999999999963
35.22	was	0.17999999999999972
35.4	a	0.060000000000002274
35.46	classmate	0.509999999999998
35.97	of	0.09000000000000341
36.06	Carmen's	0.44999999999999574
36.51	for	0.14999999999999858
36.67	medical	0.37999999999999545
37.05	school	0.39000000000000057
38.25	She	0.21000000000000085
38.46	didn't	0.240000000000002
38.7	recognize	0.5399999999999991
39.24	his	0.17999999999999972
39.42	name	0.39000000000000057
40.08	but	0.21000000000000085
40.29	then	0.17999999999999972
40.47	again	0.35999999999999943
40.86	she	0.21000000000000085
41.07	wasn't	0.2700000000000031
41.34	great	0.269999999999996
41.61	with	0.14999999999999858
41.76	names	0.480000000000004
43.08	Dr	0.35999999999999943
43.44	Torson	0.480000000000004
43.92	had	0.17999999999999972
44.1	spent	0.29999999999999716
44.4	the	0.12000000000000455
44.52	last	0.38999999999999346
44.91	two	0.240000000000002
45.15	years	0.509999999999998
45.69	working	0.480000000000004
46.17	in	0.11999999999999744
46.29	a	0.11999999999999744
46.41	remote	0.36000000000000654
46.77	part	0.269999999999996
47.04	of	0.09000000000000341
47.13	Peru	0.509999999999998
48.06	deep	0.29999999999999716
48.36	in	0.14999999999999858
48.51	the	0.060000000000002274
48.57	Amazon	0.45000000000000284
49.02	jungle	0.509999999999998
49.95	where	0.23999999999999488
50.19	a	0.060000000000002274
50.25	nonprofit	0.6599999999999966
50.91	organization	0.8700000000000045
51.93	had	0.21000000000000085
52.14	built	0.3299999999999983
52.47	a	0.060000000000002274
52.53	small	0.3299999999999983
52.86	medical	0.39000000000000057
53.25	clinic	0.35999999999999943
53.64	for	0.14999999999999858
53.79	the	0.11999999999999744
53.91	villagers	0.5700000000000003
55.32	But	0.3299999999999983
55.8	dr	0.35999999999999943
56.16	Torson	0.45000000000000284
56.61	wrote	0.2700000000000031
57.24	he	0.17999999999999972
57.42	needed	0.3299999999999983
57.75	to	0.09000000000000341
57.84	return	0.5399999999999991
58.38	to	0.14999999999999858
58.53	the	0.11999999999999744
58.65	United States	0.7199999999999989
59.4	on	0.14999999999999858
59.55	very	0.2700000000000031
59.82	short	0.29999999999999716
60.12	notice	0.45000000000000284
61.62	The	0.17999999999999972
61.8	clinic	0.3300000000000054
62.13	was	0.14999999999999858
62.28	the	0.0899999999999963
62.37	villagers	0.480000000000004
62.85	only	0.3299999999999983
